,凱松,經貿,馥樺,中坡,玉德,港運,向揚,新福玉,玉成,港泰,港麗,港環球,雄強,昆陽,忠陽,聯坊,林坊,香城,佳樂,港高鐵,鵬馳,耀港,中研,研究,庄研,胡適,華技,慈愛,重陽,鑫貿,中貿,港捷,港勝,港德,港興,聯成
凱松,0.0,3.5,4.9,1.5,1.0,0.35000000000000003,1.7000000000000002,1.6,1.3,3.2,2.9,3.1,1.1,1.7000000000000002,2.1,1.4,1.1,3.5,2.9,2.9,1.0,4.1,5.5,4.5,5.6,4.8,6.2,2.3,2.1,5.4,4.9,4.1,4.0,2.1,2.9,1.8
經貿,3.5,0.0,0.45,4.4,4.2,3.5,2.3,3.9,2.5,1.5,1.6,1.4,3.3,2.9,2.7,3.5,4.0,0.15,1.0,1.3,2.8,1.0,2.4,1.3,2.4,1.7000000000000002,3.1,1.6,1.8,0.7000000000000001,0.65,0.6000000000000001,0.35000000000000003,3.9,1.2,2.8
馥樺,4.9,0.45,0.0,5.0,4.2,4.0,2.3,4.9,2.5,2.1,2.2,1.9,4.3,3.9,3.3,4.5,4.4,0.55,1.1,1.4,2.7,1.2,2.7,1.7000000000000002,2.8,2.1,3.4,1.5,1.7000000000000002,0.4,0.25,1.1,0.45,5.0,1.2,3.4
中坡,1.5,4.4,5.0,0.0,0.35000000000000003,1.2,2.4,0.5,2.2,3.3,3.0,3.2,1.2,1.7000000000000002,2.0,0.65,0.65,3.9,3.4,3.1,2.0,4.1,5.5,4.5,5.6,4.9,6.2,3.0,2.8,4.7,4.7,4.4,4.3,1.0,3.4,1.8
玉德,1.0,4.2,4.2,0.35000000000000003,0.0,0.55,2.2,1.0,2.0,3.0,2.7,2.9,1.2,1.4,1.8,0.5,0.4,3.7,3.1,2.9,1.7000000000000002,3.8,5.3,4.2,5.3,4.6,5.9,2.7,2.5,4.4,4.4,4.1,4.0,1.2,3.2,1.4
港運,0.35000000000000003,3.5,4.0,1.2,0.55,0.0,2.0,1.3,1.6,3.0,2.7,2.9,1.6,1.4,1.7000000000000002,1.8,1.3,3.5,2.9,2.7,1.3,3.8,5.2,4.2,5.3,4.6,5.9,2.5,2.3,5.7,4.2,3.9,3.8,1.8,3.0,1.5
向揚,1.7000000000000002,2.3,2.3,2.4,2.2,2.0,0.0,2.9,0.4,2.7,2.2,2.6,2.3,1.2,1.2,2.4,2.3,2.9,2.3,2.2,1.0,3.4,4.8,3.7,4.8,4.1,5.4,1.4,0.55,3.1,3.0,3.4,3.6,2.9,1.9,1.4
新福玉,1.6,3.9,4.9,0.5,1.0,1.3,2.9,0.0,2.3,3.6,3.2,3.5,1.2,1.8,2.1,0.65,0.6000000000000001,4.2,3.6,3.4,2.1,4.4,5.8,4.8,5.9,5.2,6.5,3.3,3.1,5.0,5.0,4.7,4.6,0.55,3.7,1.9
玉成,1.3,2.5,2.5,2.2,2.0,1.6,0.4,2.3,0.0,2.1,1.8,2.0,1.6,0.5,0.45,2.0,1.9,2.2,1.6,1.8,0.26,2.9,4.4,3.3,4.4,3.7,5.0,1.0,1.4,3.3,3.2,3.0,2.9,2.5,1.6,0.65
港泰,3.2,1.5,2.1,3.3,3.0,3.0,2.7,3.6,2.1,0.0,0.16,0.12,2.3,1.8,1.2,2.4,2.4,1.3,0.45,0.35000000000000003,2.0,1.4,2.8,1.7000000000000002,2.8,2.1,3.4,1.0,2.0,1.9,1.9,1.6,1.5,2.9,0.65,1.3
港麗,2.9,1.6,2.2,3.0,2.7,2.7,2.2,3.2,1.8,0.16,0.0,0.29,2.1,1.7000000000000002,1.1,2.2,2.2,1.4,0.6000000000000001,0.4,1.8,1.6,3.0,1.9,3.1,2.3,3.7,1.0,1.2,2.2,2.1,1.8,1.8,2.7,0.7000000000000001,1.2
港環球,3.1,1.4,1.9,3.2,2.9,2.9,2.6,3.5,2.0,0.12,0.29,0.0,2.4,1.9,1.4,2.5,2.5,1.2,0.30000000000000004,0.22,2.1,1.5,2.9,1.8,3.0,2.2,3.6,2.3,2.1,2.1,2.0,1.7000000000000002,1.7000000000000002,3.0,0.7000000000000001,1.5
雄強,1.1,3.3,4.3,1.2,1.2,1.6,2.3,1.2,1.6,2.3,2.1,2.4,0.0,0.5,0.55,0.4,0.55,2.8,2.2,2.0,0.7000000000000001,2.9,4.4,3.3,4.4,3.7,5.0,1.8,1.6,3.5,3.5,3.2,3.1,2.2,2.3,0.9500000000000001
昆陽,1.7000000000000002,2.9,3.9,1.7000000000000002,1.4,1.4,1.2,1.8,0.5,1.8,1.7000000000000002,1.9,0.5,0.0,0.026000000000000002,1.0,1.2,2.2,1.7000000000000002,1.5,0.75,2.4,3.8,2.8,3.9,3.2,4.5,1.3,1.1,3.0,3.0,2.7,2.6,1.7000000000000002,1.8,0.16
忠陽,2.1,2.7,3.3,2.0,1.8,1.7000000000000002,1.2,2.1,0.45,1.2,1.1,1.4,0.55,0.026000000000000002,0.0,1.6,1.8,2.3,1.7000000000000002,1.5,0.75,2.6,4.0,3.0,4.1,3.4,4.7,1.3,1.1,3.0,3.0,2.7,2.6,2.1,1.8,0.19
聯坊,1.4,3.5,4.5,0.65,0.5,1.8,2.4,0.65,2.0,2.4,2.2,2.5,0.4,1.0,1.6,0.0,0.16,3.2,2.6,2.4,1.1,3.4,4.8,3.7,4.9,4.1,5.5,2.3,2.1,4.0,3.9,3.6,3.6,1.5,2.7,1.2
林坊,1.1,4.0,4.4,0.65,0.4,1.3,2.3,0.6000000000000001,1.9,2.4,2.2,2.5,0.55,1.2,1.8,0.16,0.0,3.3,2.7,2.5,1.6,3.5,4.9,3.9,5.0,4.3,5.6,2.4,2.2,4.1,4.1,3.8,3.7,1.2,2.9,1.4
香城,3.5,0.15,0.55,3.9,3.7,3.5,2.9,4.2,2.2,1.3,1.4,1.2,2.8,2.2,2.3,3.2,3.3,0.0,1.1,1.1,3.2,0.65,2.2,1.2,2.3,1.6,2.9,1.8,2.0,0.9,0.75,0.5,0.45,4.2,1.1,2.7
佳樂,2.9,1.0,1.1,3.4,3.1,2.9,2.3,3.6,1.6,0.45,0.6000000000000001,0.30000000000000004,2.2,1.7000000000000002,1.7000000000000002,2.6,2.7,1.1,0.0,0.2,1.9,1.3,2.8,1.8,2.9,2.2,3.5,1.0,1.3,1.5,1.3,1.3,1.2,3.3,0.4,1.8
港高鐵,2.9,1.3,1.4,3.1,2.9,2.7,2.2,3.4,1.8,0.35000000000000003,0.4,0.22,2.0,1.5,1.5,2.4,2.5,1.1,0.2,0.0,2.0,1.4,2.8,1.6,2.7,2.0,3.3,1.1,1.4,1.5,1.5,1.2,1.1,3.2,0.45,1.7000000000000002
鵬馳,1.0,2.8,2.7,2.0,1.7000000000000002,1.3,1.0,2.1,0.26,2.0,1.8,2.1,0.7000000000000001,0.75,0.75,1.1,1.6,3.2,1.9,2.0,0.0,3.2,4.6,3.6,4.7,3.9,5.3,1.3,1.0,3.6,3.5,3.3,3.2,2.7,1.9,1.1
耀港,4.1,1.0,1.2,4.1,3.8,3.8,3.4,4.4,2.9,1.4,1.6,1.5,2.9,2.4,2.6,3.4,3.5,0.65,1.3,1.4,3.2,0.0,1.9,0.65,2.0,1.3,2.6,2.3,2.5,1.6,1.5,0.5,0.6000000000000001,4.0,1.7000000000000002,2.5
中研,5.5,2.4,2.7,5.5,5.3,5.2,4.8,5.8,4.4,2.8,3.0,2.9,4.4,3.8,4.0,4.8,4.9,2.2,2.8,2.8,4.6,1.9,0.0,1.0,1.3,0.65,1.9,4.0,4.2,2.5,3.0,2.2,2.1,5.7,3.4,4.2
研究,4.5,1.3,1.7000000000000002,4.5,4.2,4.2,3.7,4.8,3.3,1.7000000000000002,1.9,1.8,3.3,2.8,3.0,3.7,3.9,1.2,1.8,1.6,3.6,0.65,1.0,0.0,1.1,0.4,1.7000000000000002,3.3,3.6,1.9,2.3,1.6,1.5,5.1,2.7,3.5
庄研,5.6,2.4,2.8,5.6,5.3,5.3,4.8,5.9,4.4,2.8,3.1,3.0,4.4,3.9,4.1,4.9,5.0,2.3,2.9,2.7,4.7,2.0,1.3,1.1,0.0,0.9,0.6000000000000001,3.9,4.2,2.5,2.9,2.2,2.1,5.7,3.3,4.1
胡適,4.8,1.7000000000000002,2.1,4.9,4.6,4.6,4.1,5.2,3.7,2.1,2.3,2.2,3.7,3.2,3.4,4.1,4.3,1.6,2.2,2.0,3.9,1.3,0.65,0.4,0.9,0.0,1.3,3.5,3.7,2.0,2.5,1.7000000000000002,1.6,5.2,2.9,3.7
華技,6.2,3.1,3.4,6.2,5.9,5.9,5.4,6.5,5.0,3.4,3.7,3.6,5.0,4.5,4.7,5.5,5.6,2.9,3.5,3.3,5.3,2.6,1.9,1.7000000000000002,0.6000000000000001,1.3,0.0,4.6,4.8,3.1,3.6,2.8,2.7,6.3,3.9,4.8
慈愛,2.3,1.6,1.5,3.0,2.7,2.5,1.4,3.3,1.0,1.0,1.0,2.3,1.8,1.3,1.3,2.3,2.4,1.8,1.0,1.1,1.3,2.3,4.0,3.3,3.9,3.5,4.6,0.0,0.23,1.8,1.7000000000000002,2.3,2.4,3.0,0.6000000000000001,1.4
重陽,2.1,1.8,1.7000000000000002,2.8,2.5,2.3,0.55,3.1,1.4,2.0,1.2,2.1,1.6,1.1,1.1,2.1,2.2,2.0,1.3,1.4,1.0,2.5,4.2,3.6,4.2,3.7,4.8,0.23,0.0,2.1,1.9,2.5,2.6,2.7,0.85,1.2
鑫貿,5.4,0.7000000000000001,0.4,4.7,4.4,5.7,3.1,5.0,3.3,1.9,2.2,2.1,3.5,3.0,3.0,4.0,4.1,0.9,1.5,1.5,3.6,1.6,2.5,1.9,2.5,2.0,3.1,1.8,2.1,0.0,0.13,0.35000000000000003,0.35000000000000003,4.6,1.8,3.0
中貿,4.9,0.65,0.25,4.7,4.4,4.2,3.0,5.0,3.2,1.9,2.1,2.0,3.5,3.0,3.0,3.9,4.1,0.75,1.3,1.5,3.5,1.5,3.0,2.3,2.9,2.5,3.6,1.7000000000000002,1.9,0.13,0.0,0.45,0.4,4.7,1.9,3.1
港捷,4.1,0.6000000000000001,1.1,4.4,4.1,3.9,3.4,4.7,3.0,1.6,1.8,1.7000000000000002,3.2,2.7,2.7,3.6,3.8,0.5,1.3,1.2,3.3,0.5,2.2,1.6,2.2,1.7000000000000002,2.8,2.3,2.5,0.35000000000000003,0.45,0.0,0.24,4.6,1.9,3.1
港勝,4.0,0.35000000000000003,0.45,4.3,4.0,3.8,3.6,4.6,2.9,1.5,1.8,1.7000000000000002,3.1,2.6,2.6,3.6,3.7,0.45,1.2,1.1,3.2,0.6000000000000001,2.1,1.5,2.1,1.6,2.7,2.4,2.6,0.35000000000000003,0.4,0.24,0.0,4.1,1.2,2.5
港德,2.1,3.9,5.0,1.0,1.2,1.8,2.9,0.55,2.5,2.9,2.7,3.0,2.2,1.7000000000000002,2.1,1.5,1.2,4.2,3.3,3.2,2.7,4.0,5.7,5.1,5.7,5.2,6.3,3.0,2.7,4.6,4.7,4.6,4.1,0.0,3.3,1.5
